,account_balance,duration,credit_history,purpose,credit_amount,savings_bond_value,employed_since,intallment_rate,sex_marital,guarantor,residence_since,property,age,other_installment_plans,type_of_housing,nr_of_existing_credits,job,number_of_dependents,telephone,foreign,target,content
29,< 0,60,delay in paying off in the past,business,6836,< 100 DM,>=7 years,3,male;single,bank,4,unknown / no property,63,none,own,2,skilled employee;official,1,Yes,Yes,__label__2,__label__2 < 0 60 delay in paying off in the past business 6836 < 100 DM >=7 years 3 male;single bank 4 unknown / no property 63 none own 2 skilled employee;official 1 Yes Yes
30,0-200 DM,18,existing credits paid back duly till now,business,1913,>=1000 DM,<1 year,3,male;married/widowed,bank,3,real estate,36,bank,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 18 existing credits paid back duly till now business 1913 >=1000 DM <1 year 3 male;married/widowed bank 3 real estate 36 bank own 1 skilled employee;official 1 Yes Yes
31,< 0,24,existing credits paid back duly till now,furniture/equipment,4020,< 100 DM,1-4 years,2,male;single,bank,2,car or other,27,stores,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 24 existing credits paid back duly till now furniture/equipment 4020 < 100 DM 1-4 years 2 male;single bank 2 car or other 27 stores own 1 skilled employee;official 1 No Yes
32,0-200 DM,18,existing credits paid back duly till now,car(new),5866,100-500 DM,1-4 years,2,male;single,bank,2,car or other,30,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 18 existing credits paid back duly till now car(new) 5866 100-500 DM 1-4 years 2 male;single bank 2 car or other 30 none own 2 skilled employee;official 1 Yes Yes
33,no checking account,12,critical account/other credits existing (not at this bank),business,1264,unknown/no savings account,>=7 years,4,male;single,bank,4,unknown / no property,57,none,rent,1,unskilled;resident,1,No,Yes,__label__1,__label__1 no checking account 12 critical account/other credits existing (not at this bank) business 1264 unknown/no savings account >=7 years 4 male;single bank 4 unknown / no property 57 none rent 1 unskilled;resident 1 No Yes
34,>=200 DM,12,existing credits paid back duly till now,furniture/equipment,1474,< 100 DM,<1 year,4,female;divorced/separated/married,bank,1,building society savings agreement/life insurance,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 >=200 DM 12 existing credits paid back duly till now furniture/equipment 1474 < 100 DM <1 year 4 female;divorced/separated/married bank 1 building society savings agreement/life insurance 33 bank own 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
35,0-200 DM,45,critical account/other credits existing (not at this bank),radio/television,4746,< 100 DM,<1 year,4,male;single,bank,2,building society savings agreement/life insurance,25,none,own,2,unskilled;resident,1,No,Yes,__label__2,__label__2 0-200 DM 45 critical account/other credits existing (not at this bank) radio/television 4746 < 100 DM <1 year 4 male;single bank 2 building society savings agreement/life insurance 25 none own 2 unskilled;resident 1 No Yes
36,no checking account,48,critical account/other credits existing (not at this bank),education,6110,< 100 DM,1-4 years,1,male;single,bank,3,unknown / no property,31,bank,for free,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 48 critical account/other credits existing (not at this bank) education 6110 < 100 DM 1-4 years 1 male;single bank 3 unknown / no property 31 bank for free 1 skilled employee;official 1 Yes Yes
37,>=200 DM,18,existing credits paid back duly till now,radio/television,2100,< 100 DM,1-4 years,4,male;single,stores,2,real estate,37,stores,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 >=200 DM 18 existing credits paid back duly till now radio/television 2100 < 100 DM 1-4 years 4 male;single stores 2 real estate 37 stores own 1 skilled employee;official 1 No Yes
38,>=200 DM,10,existing credits paid back duly till now,domestic appliances,1225,< 100 DM,1-4 years,2,male;single,bank,2,car or other,37,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 >=200 DM 10 existing credits paid back duly till now domestic appliances 1225 < 100 DM 1-4 years 2 male;single bank 2 car or other 37 none own 1 skilled employee;official 1 Yes Yes
39,0-200 DM,9,existing credits paid back duly till now,radio/television,458,< 100 DM,1-4 years,4,male;single,bank,3,real estate,24,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 9 existing credits paid back duly till now radio/television 458 < 100 DM 1-4 years 4 male;single bank 3 real estate 24 none own 1 skilled employee;official 1 No Yes
40,no checking account,30,existing credits paid back duly till now,radio/television,2333,500-1000 DM,>=7 years,4,male;single,bank,2,car or other,30,bank,own,1,management/self-employed/highly qualified employee/officer,1,No,Yes,__label__1,__label__1 no checking account 30 existing credits paid back duly till now radio/television 2333 500-1000 DM >=7 years 4 male;single bank 2 car or other 30 bank own 1 management/self-employed/highly qualified employee/officer 1 No Yes
41,0-200 DM,12,existing credits paid back duly till now,radio/television,1158,500-1000 DM,1-4 years,3,male;divorced/separated,bank,1,car or other,26,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 12 existing credits paid back duly till now radio/television 1158 500-1000 DM 1-4 years 3 male;divorced/separated bank 1 car or other 26 none own 1 skilled employee;official 1 Yes Yes
42,0-200 DM,18,delay in paying off in the past,repairs,6204,< 100 DM,1-4 years,2,male;single,bank,4,real estate,44,none,own,1,unskilled;resident,2,Yes,Yes,__label__1,__label__1 0-200 DM 18 delay in paying off in the past repairs 6204 < 100 DM 1-4 years 2 male;single bank 4 real estate 44 none own 1 unskilled;resident 2 Yes Yes
43,< 0,30,critical account/other credits existing (not at this bank),car(used),6187,100-500 DM,4-7 years,1,male;married/widowed,bank,4,car or other,24,none,rent,2,skilled employee;official,1,No,Yes,__label__1,__label__1 < 0 30 critical account/other credits existing (not at this bank) car(used) 6187 100-500 DM 4-7 years 1 male;married/widowed bank 4 car or other 24 none rent 2 skilled employee;official 1 No Yes
44,< 0,48,critical account/other credits existing (not at this bank),car(used),6143,< 100 DM,>=7 years,4,female;divorced/separated/married,bank,4,unknown / no property,58,stores,for free,2,unskilled;resident,1,No,Yes,__label__2,__label__2 < 0 48 critical account/other credits existing (not at this bank) car(used) 6143 < 100 DM >=7 years 4 female;divorced/separated/married bank 4 unknown / no property 58 stores for free 2 unskilled;resident 1 No Yes
45,no checking account,11,critical account/other credits existing (not at this bank),car(new),1393,< 100 DM,<1 year,4,female;divorced/separated/married,bank,4,car or other,35,none,own,2,management/self-employed/highly qualified employee/officer,1,No,Yes,__label__1,__label__1 no checking account 11 critical account/other credits existing (not at this bank) car(new) 1393 < 100 DM <1 year 4 female;divorced/separated/married bank 4 car or other 35 none own 2 management/self-employed/highly qualified employee/officer 1 No Yes
46,no checking account,36,existing credits paid back duly till now,radio/television,2299,500-1000 DM,>=7 years,4,male;single,bank,4,car or other,39,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 36 existing credits paid back duly till now radio/television 2299 500-1000 DM >=7 years 4 male;single bank 4 car or other 39 none own 1 skilled employee;official 1 No Yes
47,< 0,6,existing credits paid back duly till now,car(used),1352,500-1000 DM,unemployed,1,female;divorced/separated/married,bank,2,building society savings agreement/life insurance,23,none,rent,1,unemployed/unskilled;non-resident,1,Yes,Yes,__label__1,__label__1 < 0 6 existing credits paid back duly till now car(used) 1352 500-1000 DM unemployed 1 female;divorced/separated/married bank 2 building society savings agreement/life insurance 23 none rent 1 unemployed/unskilled;non-resident 1 Yes Yes
48,no checking account,11,critical account/other credits existing (not at this bank),car(new),7228,< 100 DM,1-4 years,1,male;single,bank,4,building society savings agreement/life insurance,39,none,own,2,unskilled;resident,1,No,Yes,__label__1,__label__1 no checking account 11 critical account/other credits existing (not at this bank) car(new) 7228 < 100 DM 1-4 years 1 male;single bank 4 building society savings agreement/life insurance 39 none own 2 unskilled;resident 1 No Yes
49,no checking account,12,existing credits paid back duly till now,radio/television,2073,100-500 DM,1-4 years,4,female;divorced/separated/married,stores,2,real estate,28,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 12 existing credits paid back duly till now radio/television 2073 100-500 DM 1-4 years 4 female;divorced/separated/married stores 2 real estate 28 none own 1 skilled employee;official 1 No Yes
50,0-200 DM,24,delay in paying off in the past,furniture/equipment,2333,unknown/no savings account,<1 year,4,male;single,bank,2,building society savings agreement/life insurance,29,bank,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 0-200 DM 24 delay in paying off in the past furniture/equipment 2333 unknown/no savings account <1 year 4 male;single bank 2 building society savings agreement/life insurance 29 bank own 1 unskilled;resident 1 No Yes
51,0-200 DM,27,delay in paying off in the past,car(used),5965,< 100 DM,>=7 years,1,male;single,bank,2,car or other,30,none,own,2,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 0-200 DM 27 delay in paying off in the past car(used) 5965 < 100 DM >=7 years 1 male;single bank 2 car or other 30 none own 2 management/self-employed/highly qualified employee/officer 1 Yes Yes
52,no checking account,12,existing credits paid back duly till now,radio/television,1262,< 100 DM,1-4 years,3,male;single,bank,2,car or other,25,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 12 existing credits paid back duly till now radio/television 1262 < 100 DM 1-4 years 3 male;single bank 2 car or other 25 none own 1 skilled employee;official 1 No Yes
53,no checking account,18,existing credits paid back duly till now,car(used),3378,unknown/no savings account,1-4 years,2,male;single,bank,1,building society savings agreement/life insurance,31,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 18 existing credits paid back duly till now car(used) 3378 unknown/no savings account 1-4 years 2 male;single bank 1 building society savings agreement/life insurance 31 none own 1 skilled employee;official 1 Yes Yes
54,0-200 DM,36,delay in paying off in the past,car(new),2225,< 100 DM,>=7 years,4,male;single,bank,4,unknown / no property,57,bank,for free,2,skilled employee;official,1,Yes,Yes,__label__2,__label__2 0-200 DM 36 delay in paying off in the past car(new) 2225 < 100 DM >=7 years 4 male;single bank 4 unknown / no property 57 bank for free 2 skilled employee;official 1 Yes Yes
55,no checking account,6,all credits at this bank paid back duly,car(new),783,unknown/no savings account,1-4 years,1,male;single,none,2,real estate,26,stores,own,1,unskilled;resident,2,No,Yes,__label__1,__label__1 no checking account 6 all credits at this bank paid back duly car(new) 783 unknown/no savings account 1-4 years 1 male;single none 2 real estate 26 stores own 1 unskilled;resident 2 No Yes
56,0-200 DM,12,existing credits paid back duly till now,radio/television,6468,unknown/no savings account,unemployed,2,male;single,bank,1,unknown / no property,52,none,own,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__2,__label__2 0-200 DM 12 existing credits paid back duly till now radio/television 6468 unknown/no savings account unemployed 2 male;single bank 1 unknown / no property 52 none own 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
57,no checking account,36,critical account/other credits existing (not at this bank),radio/television,9566,< 100 DM,1-4 years,2,female;divorced/separated/married,bank,2,car or other,31,stores,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 36 critical account/other credits existing (not at this bank) radio/television 9566 < 100 DM 1-4 years 2 female;divorced/separated/married bank 2 car or other 31 stores own 2 skilled employee;official 1 No Yes
58,>=200 DM,18,existing credits paid back duly till now,car(new),1961,< 100 DM,>=7 years,3,female;divorced/separated/married,bank,2,car or other,23,none,own,1,management/self-employed/highly qualified employee/officer,1,No,Yes,__label__1,__label__1 >=200 DM 18 existing credits paid back duly till now car(new) 1961 < 100 DM >=7 years 3 female;divorced/separated/married bank 2 car or other 23 none own 1 management/self-employed/highly qualified employee/officer 1 No Yes
59,< 0,36,critical account/other credits existing (not at this bank),furniture/equipment,6229,< 100 DM,<1 year,4,female;divorced/separated/married,stores,4,unknown / no property,23,none,rent,2,unskilled;resident,1,Yes,Yes,__label__2,__label__2 < 0 36 critical account/other credits existing (not at this bank) furniture/equipment 6229 < 100 DM <1 year 4 female;divorced/separated/married stores 4 unknown / no property 23 none rent 2 unskilled;resident 1 Yes Yes
60,0-200 DM,9,existing credits paid back duly till now,business,1391,< 100 DM,1-4 years,2,male;married/widowed,bank,1,real estate,27,bank,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 9 existing credits paid back duly till now business 1391 < 100 DM 1-4 years 2 male;married/widowed bank 1 real estate 27 bank own 1 skilled employee;official 1 Yes Yes
61,0-200 DM,15,critical account/other credits existing (not at this bank),radio/television,1537,unknown/no savings account,>=7 years,4,male;single,none,4,real estate,50,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 15 critical account/other credits existing (not at this bank) radio/television 1537 unknown/no savings account >=7 years 4 male;single none 4 real estate 50 none own 2 skilled employee;official 1 Yes Yes
62,0-200 DM,36,no credits taken/all credits paid back duly,business,1953,< 100 DM,>=7 years,4,male;single,bank,4,unknown / no property,61,none,for free,1,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__2,__label__2 0-200 DM 36 no credits taken/all credits paid back duly business 1953 < 100 DM >=7 years 4 male;single bank 4 unknown / no property 61 none for free 1 management/self-employed/highly qualified employee/officer 1 Yes Yes
63,0-200 DM,48,no credits taken/all credits paid back duly,business,14421,< 100 DM,1-4 years,2,male;single,bank,2,car or other,25,none,own,1,skilled employee;official,1,Yes,Yes,__label__2,__label__2 0-200 DM 48 no credits taken/all credits paid back duly business 14421 < 100 DM 1-4 years 2 male;single bank 2 car or other 25 none own 1 skilled employee;official 1 Yes Yes
64,no checking account,24,existing credits paid back duly till now,radio/television,3181,< 100 DM,<1 year,4,female;divorced/separated/married,bank,4,building society savings agreement/life insurance,26,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 24 existing credits paid back duly till now radio/television 3181 < 100 DM <1 year 4 female;divorced/separated/married bank 4 building society savings agreement/life insurance 26 none own 1 skilled employee;official 1 Yes Yes
65,no checking account,27,existing credits paid back duly till now,repairs,5190,unknown/no savings account,>=7 years,4,male;single,bank,4,building society savings agreement/life insurance,48,none,own,4,skilled employee;official,2,Yes,Yes,__label__1,__label__1 no checking account 27 existing credits paid back duly till now repairs 5190 unknown/no savings account >=7 years 4 male;single bank 4 building society savings agreement/life insurance 48 none own 4 skilled employee;official 2 Yes Yes
66,no checking account,12,existing credits paid back duly till now,radio/television,2171,< 100 DM,<1 year,2,female;divorced/separated/married,bank,2,car or other,29,bank,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 12 existing credits paid back duly till now radio/television 2171 < 100 DM <1 year 2 female;divorced/separated/married bank 2 car or other 29 bank own 1 skilled employee;official 1 No Yes
67,0-200 DM,12,existing credits paid back duly till now,car(new),1007,>=1000 DM,1-4 years,4,male;married/widowed,bank,1,real estate,22,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 12 existing credits paid back duly till now car(new) 1007 >=1000 DM 1-4 years 4 male;married/widowed bank 1 real estate 22 none own 1 skilled employee;official 1 No Yes
68,no checking account,36,existing credits paid back duly till now,education,1819,< 100 DM,1-4 years,4,male;single,bank,4,unknown / no property,37,stores,for free,1,skilled employee;official,1,Yes,Yes,__label__2,__label__2 no checking account 36 existing credits paid back duly till now education 1819 < 100 DM 1-4 years 4 male;single bank 4 unknown / no property 37 stores for free 1 skilled employee;official 1 Yes Yes
69,no checking account,36,existing credits paid back duly till now,radio/television,2394,unknown/no savings account,1-4 years,4,female;divorced/separated/married,bank,4,car or other,25,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 36 existing credits paid back duly till now radio/television 2394 unknown/no savings account 1-4 years 4 female;divorced/separated/married bank 4 car or other 25 none own 1 skilled employee;official 1 No Yes
70,no checking account,36,existing credits paid back duly till now,car(used),8133,< 100 DM,1-4 years,1,female;divorced/separated/married,bank,2,building society savings agreement/life insurance,30,bank,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 36 existing credits paid back duly till now car(used) 8133 < 100 DM 1-4 years 1 female;divorced/separated/married bank 2 building society savings agreement/life insurance 30 bank own 1 skilled employee;official 1 No Yes
71,no checking account,7,critical account/other credits existing (not at this bank),radio/television,730,unknown/no savings account,>=7 years,4,male;single,bank,2,building society savings agreement/life insurance,46,none,rent,2,unskilled;resident,1,Yes,Yes,__label__1,__label__1 no checking account 7 critical account/other credits existing (not at this bank) radio/television 730 unknown/no savings account >=7 years 4 male;single bank 2 building society savings agreement/life insurance 46 none rent 2 unskilled;resident 1 Yes Yes
72,< 0,8,critical account/other credits existing (not at this bank),others,1164,< 100 DM,>=7 years,3,male;single,bank,4,unknown / no property,51,bank,for free,2,management/self-employed/highly qualified employee/officer,2,Yes,Yes,__label__1,__label__1 < 0 8 critical account/other credits existing (not at this bank) others 1164 < 100 DM >=7 years 3 male;single bank 4 unknown / no property 51 bank for free 2 management/self-employed/highly qualified employee/officer 2 Yes Yes
73,0-200 DM,42,critical account/other credits existing (not at this bank),business,5954,< 100 DM,4-7 years,2,female;divorced/separated/married,bank,1,real estate,41,bank,own,2,unskilled;resident,1,No,Yes,__label__1,__label__1 0-200 DM 42 critical account/other credits existing (not at this bank) business 5954 < 100 DM 4-7 years 2 female;divorced/separated/married bank 1 real estate 41 bank own 2 unskilled;resident 1 No Yes
