,account_balance,duration,credit_history,purpose,credit_amount,savings_bond_value,employed_since,intallment_rate,sex_marital,guarantor,residence_since,property,age,other_installment_plans,type_of_housing,nr_of_existing_credits,job,number_of_dependents,telephone,foreign,target,content
10,A12,A21,A32,A40,A52,A61,A72,A83,A92,A101,A111,A123,A131,A143,A151,A161,A173,A181,A191,A201,__label__2,__label__2 A12 A21 A32 A40 A52 A61 A72 A83 A92 A101 A111 A123 A131 A143 A151 A161 A173 A181 A191 A201
11,A11,A27,A32,A49,A57,A61,A72,A83,A92,A101,A114,A122,A131,A143,A151,A161,A173,A181,A191,A201,__label__2,__label__2 A11 A27 A32 A49 A57 A61 A72 A83 A92 A101 A114 A122 A131 A143 A151 A161 A173 A181 A191 A201
12,A12,A21,A32,A43,A53,A61,A73,A81,A92,A101,A111,A123,A130,A143,A152,A161,A173,A181,A192,A201,__label__1,__label__1 A12 A21 A32 A43 A53 A61 A73 A81 A92 A101 A111 A123 A130 A143 A152 A161 A173 A181 A192 A201
13,A11,A24,A34,A40,A51,A61,A75,A84,A93,A101,A114,A123,A139,A143,A152,A162,A172,A181,A191,A201,__label__2,__label__2 A11 A24 A34 A40 A51 A61 A75 A84 A93 A101 A114 A123 A139 A143 A152 A162 A172 A181 A191 A201
14,A11,A22,A32,A40,A52,A61,A73,A82,A92,A101,A114,A123,A132,A143,A151,A161,A173,A181,A191,A201,__label__1,__label__1 A11 A22 A32 A40 A52 A61 A73 A82 A92 A101 A114 A123 A132 A143 A151 A161 A173 A181 A191 A201
15,A11,A24,A32,A43,A52,A62,A73,A84,A92,A101,A112,A123,A134,A143,A152,A161,A172,A181,A191,A201,__label__2,__label__2 A11 A24 A32 A43 A52 A62 A73 A84 A92 A101 A112 A123 A134 A143 A152 A161 A172 A181 A191 A201
16,A14,A24,A34,A43,A55,A65,A75,A84,A93,A101,A114,A122,A139,A143,A152,A162,A173,A181,A191,A201,__label__1,__label__1 A14 A24 A34 A43 A55 A65 A75 A84 A93 A101 A114 A122 A139 A143 A152 A162 A173 A181 A191 A201
17,A11,A25,A30,A49,A59,A65,A72,A82,A93,A101,A113,A123,A131,A141,A152,A163,A173,A181,A191,A201,__label__1,__label__1 A11 A25 A30 A49 A59 A65 A72 A82 A93 A101 A113 A123 A131 A141 A152 A163 A173 A181 A191 A201
18,A12,A24,A32,A41,A59,A61,A75,A84,A92,A101,A112,A124,A137,A143,A153,A161,A174,A181,A192,A201,__label__2,__label__2 A12 A24 A32 A41 A59 A61 A75 A84 A92 A101 A112 A124 A137 A143 A153 A161 A174 A181 A192 A201
19,A14,A24,A32,A43,A56,A63,A75,A83,A93,A101,A112,A123,A134,A143,A152,A161,A173,A182,A192,A201,__label__1,__label__1 A14 A24 A32 A43 A56 A63 A75 A83 A93 A101 A112 A123 A134 A143 A152 A161 A173 A182 A192 A201
20,A14,A20,A34,A40,A54,A61,A73,A84,A93,A101,A114,A123,A138,A143,A152,A163,A173,A181,A192,A201,__label__1,__label__1 A14 A20 A34 A40 A54 A61 A73 A84 A93 A101 A114 A123 A138 A143 A152 A163 A173 A181 A192 A201
21,A11,A20,A32,A43,A55,A63,A73,A82,A93,A101,A113,A121,A137,A143,A151,A161,A173,A182,A191,A201,__label__1,__label__1 A11 A20 A32 A43 A55 A63 A73 A82 A93 A101 A113 A121 A137 A143 A151 A161 A173 A182 A191 A201
22,A11,A21,A34,A40,A54,A61,A72,A81,A93,A101,A113,A121,A138,A143,A151,A162,A172,A182,A191,A202,__label__1,__label__1 A11 A21 A34 A40 A54 A61 A72 A81 A93 A101 A113 A121 A138 A143 A151 A162 A172 A182 A191 A202
23,A12,A21,A34,A41,A53,A62,A72,A83,A93,A101,A114,A122,A137,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A12 A21 A34 A41 A53 A62 A72 A83 A93 A101 A114 A122 A137 A143 A152 A161 A173 A181 A191 A201
24,A14,A21,A34,A42,A54,A65,A73,A82,A94,A101,A111,A123,A131,A143,A152,A162,A173,A181,A191,A202,__label__1,__label__1 A14 A21 A34 A42 A54 A65 A73 A82 A94 A101 A111 A123 A131 A143 A152 A162 A173 A181 A191 A202
25,A11,A20,A32,A42,A52,A61,A73,A81,A93,A101,A112,A121,A135,A141,A152,A161,A172,A181,A192,A201,__label__1,__label__1 A11 A20 A32 A42 A52 A61 A73 A81 A93 A101 A112 A121 A135 A141 A152 A161 A172 A181 A192 A201
26,A14,A20,A30,A43,A50,A61,A75,A84,A94,A101,A114,A123,A136,A143,A152,A161,A172,A181,A191,A201,__label__1,__label__1 A14 A20 A30 A43 A50 A61 A75 A84 A94 A101 A114 A123 A136 A143 A152 A161 A172 A181 A191 A201
27,A13,A21,A31,A43,A50,A64,A73,A83,A92,A101,A113,A121,A137,A143,A151,A162,A173,A181,A191,A201,__label__1,__label__1 A13 A21 A31 A43 A50 A64 A73 A83 A92 A101 A113 A121 A137 A143 A151 A162 A173 A181 A191 A201
28,A12,A20,A32,A43,A55,A61,A73,A83,A93,A103,A112,A121,A135,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A12 A20 A32 A43 A55 A61 A73 A83 A93 A103 A112 A121 A135 A143 A152 A161 A173 A181 A191 A201
29,A11,A27,A33,A49,A58,A61,A75,A83,A93,A101,A114,A124,A139,A143,A152,A162,A173,A181,A192,A201,__label__2,__label__2 A11 A27 A33 A49 A58 A61 A75 A83 A93 A101 A114 A124 A139 A143 A152 A162 A173 A181 A192 A201
30,A12,A23,A32,A49,A54,A64,A72,A83,A94,A101,A113,A121,A135,A141,A152,A161,A173,A181,A192,A201,__label__1,__label__1 A12 A23 A32 A49 A54 A64 A72 A83 A94 A101 A113 A121 A135 A141 A152 A161 A173 A181 A192 A201
31,A11,A24,A32,A42,A57,A61,A73,A82,A93,A101,A112,A123,A132,A142,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A11 A24 A32 A42 A57 A61 A73 A82 A93 A101 A112 A123 A132 A142 A152 A161 A173 A181 A191 A201
32,A12,A23,A32,A40,A58,A62,A73,A82,A93,A101,A112,A123,A133,A143,A152,A162,A173,A181,A192,A201,__label__1,__label__1 A12 A23 A32 A40 A58 A62 A73 A82 A93 A101 A112 A123 A133 A143 A152 A162 A173 A181 A192 A201
33,A14,A21,A34,A49,A52,A65,A75,A84,A93,A101,A114,A124,A139,A143,A151,A161,A172,A181,A191,A201,__label__1,__label__1 A14 A21 A34 A49 A52 A65 A75 A84 A93 A101 A114 A124 A139 A143 A151 A161 A172 A181 A191 A201
34,A13,A21,A32,A42,A52,A61,A72,A84,A92,A101,A111,A122,A134,A141,A152,A161,A174,A181,A192,A201,__label__1,__label__1 A13 A21 A32 A42 A52 A61 A72 A84 A92 A101 A111 A122 A134 A141 A152 A161 A174 A181 A192 A201
35,A12,A27,A34,A43,A58,A61,A72,A84,A93,A101,A112,A122,A131,A143,A152,A162,A172,A181,A191,A201,__label__2,__label__2 A12 A27 A34 A43 A58 A61 A72 A84 A93 A101 A112 A122 A131 A143 A152 A162 A172 A181 A191 A201
36,A14,A27,A34,A46,A58,A61,A73,A81,A93,A101,A113,A124,A134,A141,A153,A161,A173,A181,A192,A201,__label__1,__label__1 A14 A27 A34 A46 A58 A61 A73 A81 A93 A101 A113 A124 A134 A141 A153 A161 A173 A181 A192 A201
37,A13,A23,A32,A43,A54,A61,A73,A84,A93,A102,A112,A121,A136,A142,A152,A161,A173,A181,A191,A201,__label__2,__label__2 A13 A23 A32 A43 A54 A61 A73 A84 A93 A102 A112 A121 A136 A142 A152 A161 A173 A181 A191 A201
38,A13,A21,A32,A44,A51,A61,A73,A82,A93,A101,A112,A123,A136,A143,A152,A161,A173,A181,A192,A201,__label__1,__label__1 A13 A21 A32 A44 A51 A61 A73 A82 A93 A101 A112 A123 A136 A143 A152 A161 A173 A181 A192 A201
39,A12,A20,A32,A43,A50,A61,A73,A84,A93,A101,A113,A121,A131,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A12 A20 A32 A43 A50 A61 A73 A84 A93 A101 A113 A121 A131 A143 A152 A161 A173 A181 A191 A201
40,A14,A25,A32,A43,A55,A63,A75,A84,A93,A101,A112,A123,A133,A141,A152,A161,A174,A181,A191,A201,__label__1,__label__1 A14 A25 A32 A43 A55 A63 A75 A84 A93 A101 A112 A123 A133 A141 A152 A161 A174 A181 A191 A201
41,A12,A21,A32,A43,A51,A63,A73,A83,A91,A101,A111,A123,A131,A143,A152,A161,A173,A181,A192,A201,__label__1,__label__1 A12 A21 A32 A43 A51 A63 A73 A83 A91 A101 A111 A123 A131 A143 A152 A161 A173 A181 A192 A201
42,A12,A23,A33,A45,A58,A61,A73,A82,A93,A101,A114,A121,A137,A143,A152,A161,A172,A182,A192,A201,__label__1,__label__1 A12 A23 A33 A45 A58 A61 A73 A82 A93 A101 A114 A121 A137 A143 A152 A161 A172 A182 A192 A201
43,A11,A25,A34,A41,A58,A62,A74,A81,A94,A101,A114,A123,A131,A143,A151,A162,A173,A181,A191,A201,__label__1,__label__1 A11 A25 A34 A41 A58 A62 A74 A81 A94 A101 A114 A123 A131 A143 A151 A162 A173 A181 A191 A201
44,A11,A27,A34,A41,A58,A61,A75,A84,A92,A101,A114,A124,A139,A142,A153,A162,A172,A181,A191,A201,__label__2,__label__2 A11 A27 A34 A41 A58 A61 A75 A84 A92 A101 A114 A124 A139 A142 A153 A162 A172 A181 A191 A201
45,A14,A21,A34,A40,A52,A61,A72,A84,A92,A101,A114,A123,A135,A143,A152,A162,A174,A181,A191,A201,__label__1,__label__1 A14 A21 A34 A40 A52 A61 A72 A84 A92 A101 A114 A123 A135 A143 A152 A162 A174 A181 A191 A201
46,A14,A26,A32,A43,A54,A63,A75,A84,A93,A101,A114,A123,A136,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A26 A32 A43 A54 A63 A75 A84 A93 A101 A114 A123 A136 A143 A152 A161 A173 A181 A191 A201
47,A11,A20,A32,A41,A52,A63,A71,A81,A92,A101,A112,A122,A130,A143,A151,A161,A171,A181,A192,A201,__label__1,__label__1 A11 A20 A32 A41 A52 A63 A71 A81 A92 A101 A112 A122 A130 A143 A151 A161 A171 A181 A192 A201
48,A14,A21,A34,A40,A59,A61,A73,A81,A93,A101,A114,A122,A136,A143,A152,A162,A172,A181,A191,A201,__label__1,__label__1 A14 A21 A34 A40 A59 A61 A73 A81 A93 A101 A114 A122 A136 A143 A152 A162 A172 A181 A191 A201
49,A14,A21,A32,A43,A54,A62,A73,A84,A92,A102,A112,A121,A132,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A21 A32 A43 A54 A62 A73 A84 A92 A102 A112 A121 A132 A143 A152 A161 A173 A181 A191 A201
50,A12,A24,A33,A42,A55,A65,A72,A84,A93,A101,A112,A122,A133,A141,A152,A161,A172,A181,A191,A201,__label__1,__label__1 A12 A24 A33 A42 A55 A65 A72 A84 A93 A101 A112 A122 A133 A141 A152 A161 A172 A181 A191 A201
51,A12,A25,A33,A41,A58,A61,A75,A81,A93,A101,A112,A123,A133,A143,A152,A162,A174,A181,A192,A201,__label__1,__label__1 A12 A25 A33 A41 A58 A61 A75 A81 A93 A101 A112 A123 A133 A143 A152 A162 A174 A181 A192 A201
52,A14,A21,A32,A43,A51,A61,A73,A83,A93,A101,A112,A123,A131,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A21 A32 A43 A51 A61 A73 A83 A93 A101 A112 A123 A131 A143 A152 A161 A173 A181 A191 A201
53,A14,A23,A32,A41,A56,A65,A73,A82,A93,A101,A111,A122,A134,A143,A152,A161,A173,A181,A192,A201,__label__1,__label__1 A14 A23 A32 A41 A56 A65 A73 A82 A93 A101 A111 A122 A134 A143 A152 A161 A173 A181 A192 A201
54,A12,A26,A33,A40,A54,A61,A75,A84,A93,A101,A114,A124,A139,A141,A153,A162,A173,A181,A192,A201,__label__2,__label__2 A12 A26 A33 A40 A54 A61 A75 A84 A93 A101 A114 A124 A139 A141 A153 A162 A173 A181 A192 A201
55,A14,A20,A31,A40,A50,A65,A73,A81,A93,A103,A112,A121,A131,A142,A152,A161,A172,A182,A191,A201,__label__1,__label__1 A14 A20 A31 A40 A50 A65 A73 A81 A93 A103 A112 A121 A131 A142 A152 A161 A172 A182 A191 A201
56,A12,A21,A32,A43,A58,A65,A71,A82,A93,A101,A111,A124,A138,A143,A152,A161,A174,A181,A192,A201,__label__2,__label__2 A12 A21 A32 A43 A58 A65 A71 A82 A93 A101 A111 A124 A138 A143 A152 A161 A174 A181 A192 A201
57,A14,A26,A34,A43,A59,A61,A73,A82,A92,A101,A112,A123,A134,A142,A152,A162,A173,A181,A191,A201,__label__1,__label__1 A14 A26 A34 A43 A59 A61 A73 A82 A92 A101 A112 A123 A134 A142 A152 A162 A173 A181 A191 A201
58,A13,A23,A32,A40,A54,A61,A75,A83,A92,A101,A112,A123,A130,A143,A152,A161,A174,A181,A191,A201,__label__1,__label__1 A13 A23 A32 A40 A54 A61 A75 A83 A92 A101 A112 A123 A130 A143 A152 A161 A174 A181 A191 A201
59,A11,A26,A34,A42,A58,A61,A72,A84,A92,A102,A114,A124,A130,A143,A151,A162,A172,A181,A192,A201,__label__2,__label__2 A11 A26 A34 A42 A58 A61 A72 A84 A92 A102 A114 A124 A130 A143 A151 A162 A172 A181 A192 A201
60,A12,A20,A32,A49,A52,A61,A73,A82,A94,A101,A111,A121,A132,A141,A152,A161,A173,A181,A192,A201,__label__1,__label__1 A12 A20 A32 A49 A52 A61 A73 A82 A94 A101 A111 A121 A132 A141 A152 A161 A173 A181 A192 A201
61,A12,A22,A34,A43,A53,A65,A75,A84,A93,A103,A114,A121,A138,A143,A152,A162,A173,A181,A192,A201,__label__1,__label__1 A12 A22 A34 A43 A53 A65 A75 A84 A93 A103 A114 A121 A138 A143 A152 A162 A173 A181 A192 A201
62,A12,A26,A30,A49,A54,A61,A75,A84,A93,A101,A114,A124,A139,A143,A153,A161,A174,A181,A192,A201,__label__2,__label__2 A12 A26 A30 A49 A54 A61 A75 A84 A93 A101 A114 A124 A139 A143 A153 A161 A174 A181 A192 A201
63,A12,A27,A30,A49,A59,A61,A73,A82,A93,A101,A112,A123,A131,A143,A152,A161,A173,A181,A192,A201,__label__2,__label__2 A12 A27 A30 A49 A59 A61 A73 A82 A93 A101 A112 A123 A131 A143 A152 A161 A173 A181 A192 A201
64,A14,A24,A32,A43,A56,A61,A72,A84,A92,A101,A114,A122,A131,A143,A152,A161,A173,A181,A192,A201,__label__1,__label__1 A14 A24 A32 A43 A56 A61 A72 A84 A92 A101 A114 A122 A131 A143 A152 A161 A173 A181 A192 A201
65,A14,A25,A32,A45,A58,A65,A75,A84,A93,A101,A114,A122,A138,A143,A152,A164,A173,A182,A192,A201,__label__1,__label__1 A14 A25 A32 A45 A58 A65 A75 A84 A93 A101 A114 A122 A138 A143 A152 A164 A173 A182 A192 A201
66,A14,A21,A32,A43,A54,A61,A72,A82,A92,A101,A112,A123,A133,A141,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A21 A32 A43 A54 A61 A72 A82 A92 A101 A112 A123 A133 A141 A152 A161 A173 A181 A191 A201
67,A12,A21,A32,A40,A51,A64,A73,A84,A94,A101,A111,A121,A130,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A12 A21 A32 A40 A51 A64 A73 A84 A94 A101 A111 A121 A130 A143 A152 A161 A173 A181 A191 A201
68,A14,A26,A32,A46,A53,A61,A73,A84,A93,A101,A114,A124,A136,A142,A153,A161,A173,A181,A192,A201,__label__2,__label__2 A14 A26 A32 A46 A53 A61 A73 A84 A93 A101 A114 A124 A136 A142 A153 A161 A173 A181 A192 A201
69,A14,A26,A32,A43,A55,A65,A73,A84,A92,A101,A114,A123,A131,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A26 A32 A43 A55 A65 A73 A84 A92 A101 A114 A123 A131 A143 A152 A161 A173 A181 A191 A201
70,A14,A26,A32,A41,A59,A61,A73,A81,A92,A101,A112,A122,A133,A141,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A26 A32 A41 A59 A61 A73 A81 A92 A101 A112 A122 A133 A141 A152 A161 A173 A181 A191 A201
71,A14,A20,A34,A43,A50,A65,A75,A84,A93,A101,A112,A122,A138,A143,A151,A162,A172,A181,A192,A201,__label__1,__label__1 A14 A20 A34 A43 A50 A65 A75 A84 A93 A101 A112 A122 A138 A143 A151 A162 A172 A181 A192 A201
72,A11,A20,A34,A410,A51,A61,A75,A83,A93,A101,A114,A124,A138,A141,A153,A162,A174,A182,A192,A201,__label__1,__label__1 A11 A20 A34 A410 A51 A61 A75 A83 A93 A101 A114 A124 A138 A141 A153 A162 A174 A182 A192 A201
73,A12,A27,A34,A49,A58,A61,A74,A82,A92,A101,A111,A121,A137,A141,A152,A162,A172,A181,A191,A201,__label__1,__label__1 A12 A27 A34 A49 A58 A61 A74 A82 A92 A101 A111 A121 A137 A141 A152 A162 A172 A181 A191 A201
74,A11,A26,A32,A46,A54,A65,A75,A84,A93,A101,A114,A124,A137,A143,A152,A161,A174,A181,A192,A201,__label__2,__label__2 A11 A26 A32 A46 A54 A65 A75 A84 A93 A101 A114 A124 A137 A143 A152 A161 A174 A181 A192 A201
75,A11,A21,A34,A41,A53,A61,A75,A84,A93,A101,A114,A124,A139,A143,A153,A162,A174,A181,A191,A201,__label__1,__label__1 A11 A21 A34 A41 A53 A61 A75 A84 A93 A101 A114 A124 A139 A143 A153 A162 A174 A181 A191 A201
76,A11,A27,A32,A43,A57,A61,A72,A84,A93,A101,A113,A123,A135,A143,A152,A161,A173,A181,A191,A201,__label__2,__label__2 A11 A27 A32 A43 A57 A61 A72 A84 A93 A101 A113 A123 A135 A143 A152 A161 A173 A181 A191 A201
77,A12,A21,A33,A43,A58,A61,A74,A82,A93,A101,A114,A122,A138,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A12 A21 A33 A43 A58 A61 A74 A82 A93 A101 A114 A122 A138 A143 A152 A161 A173 A181 A191 A201
78,A14,A27,A30,A41,A59,A65,A73,A82,A93,A101,A112,A122,A136,A143,A152,A161,A172,A182,A191,A201,__label__1,__label__1 A14 A27 A30 A41 A59 A65 A73 A82 A93 A101 A112 A122 A136 A143 A152 A161 A172 A182 A191 A201
79,A12,A25,A32,A42,A57,A61,A72,A82,A94,A101,A111,A122,A130,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A12 A25 A32 A42 A57 A61 A72 A82 A94 A101 A111 A122 A130 A143 A152 A161 A173 A181 A191 A201
80,A14,A24,A32,A43,A58,A65,A72,A81,A92,A101,A111,A123,A137,A143,A152,A162,A173,A181,A192,A201,__label__2,__label__2 A14 A24 A32 A43 A58 A65 A72 A81 A92 A101 A111 A123 A137 A143 A152 A162 A173 A181 A192 A201
81,A14,A22,A32,A43,A51,A63,A75,A84,A93,A101,A113,A122,A138,A142,A152,A161,A173,A181,A192,A201,__label__1,__label__1 A14 A22 A32 A43 A51 A63 A75 A84 A93 A101 A113 A122 A138 A142 A152 A161 A173 A181 A192 A201
82,A14,A23,A32,A49,A53,A62,A73,A83,A92,A101,A114,A122,A131,A143,A151,A161,A172,A181,A191,A201,__label__1,__label__1 A14 A23 A32 A49 A53 A62 A73 A83 A92 A101 A114 A122 A131 A143 A151 A161 A172 A181 A191 A201
83,A11,A24,A32,A410,A53,A61,A75,A84,A92,A103,A114,A121,A139,A143,A152,A161,A172,A181,A192,A201,__label__1,__label__1 A11 A24 A32 A410 A53 A61 A75 A84 A92 A103 A114 A121 A139 A143 A152 A161 A172 A181 A192 A201
84,A11,A21,A32,A43,A54,A61,A75,A83,A93,A101,A114,A121,A138,A143,A152,A161,A172,A181,A191,A201,__label__1,__label__1 A11 A21 A32 A43 A54 A61 A75 A83 A93 A101 A114 A121 A138 A143 A152 A161 A172 A181 A191 A201
85,A14,A21,A34,A49,A52,A61,A73,A84,A92,A103,A112,A121,A133,A143,A152,A162,A174,A181,A192,A201,__label__1,__label__1 A14 A21 A34 A49 A52 A61 A73 A84 A92 A103 A112 A121 A133 A143 A152 A162 A174 A181 A192 A201
86,A12,A23,A34,A42,A52,A61,A72,A84,A92,A101,A111,A122,A132,A143,A152,A162,A173,A181,A191,A201,__label__1,__label__1 A12 A23 A34 A42 A52 A61 A72 A84 A92 A101 A111 A122 A132 A143 A152 A162 A173 A181 A191 A201
87,A12,A26,A32,A46,A59,A62,A73,A81,A93,A101,A114,A124,A138,A143,A153,A161,A173,A182,A192,A201,__label__2,__label__2 A12 A26 A32 A46 A59 A62 A73 A81 A93 A101 A114 A124 A138 A143 A153 A161 A173 A182 A192 A201
88,A11,A23,A32,A40,A54,A62,A74,A84,A93,A101,A113,A123,A133,A143,A152,A161,A174,A182,A192,A201,__label__1,__label__1 A11 A23 A32 A40 A54 A62 A74 A84 A93 A101 A113 A123 A133 A143 A152 A161 A174 A182 A192 A201
89,A11,A21,A30,A45,A51,A61,A74,A84,A93,A101,A113,A121,A132,A143,A152,A162,A173,A181,A191,A201,__label__2,__label__2 A11 A21 A30 A45 A51 A61 A74 A84 A93 A101 A113 A121 A132 A143 A152 A162 A173 A181 A191 A201
90,A14,A21,A34,A43,A50,A61,A75,A84,A93,A101,A114,A121,A139,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A21 A34 A43 A50 A61 A75 A84 A93 A101 A114 A121 A139 A143 A152 A161 A173 A181 A191 A201
91,A11,A21,A34,A41,A52,A61,A75,A84,A93,A101,A113,A121,A139,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A11 A21 A34 A41 A52 A61 A75 A84 A93 A101 A113 A121 A139 A143 A152 A161 A173 A181 A191 A201
92,A14,A21,A34,A43,A50,A65,A75,A84,A92,A101,A113,A122,A134,A141,A152,A161,A172,A182,A191,A201,__label__2,__label__2 A14 A21 A34 A43 A50 A65 A75 A84 A92 A101 A113 A122 A134 A141 A152 A161 A172 A182 A191 A201
93,A13,A24,A34,A42,A57,A65,A75,A84,A93,A102,A114,A124,A130,A143,A151,A162,A173,A181,A191,A201,__label__1,__label__1 A13 A24 A34 A42 A57 A65 A75 A84 A93 A102 A114 A124 A130 A143 A151 A162 A173 A181 A191 A201
94,A12,A21,A32,A40,A52,A64,A75,A84,A93,A101,A114,A121,A139,A143,A152,A161,A173,A181,A192,A201,__label__1,__label__1 A12 A21 A32 A40 A52 A64 A75 A84 A93 A101 A114 A121 A139 A143 A152 A161 A173 A181 A192 A201
95,A12,A27,A30,A49,A59,A61,A72,A83,A93,A101,A114,A124,A139,A143,A151,A161,A173,A181,A192,A201,__label__2,__label__2 A12 A27 A30 A49 A59 A61 A72 A83 A93 A101 A114 A124 A139 A143 A151 A161 A173 A181 A192 A201
96,A14,A21,A34,A46,A54,A65,A74,A84,A92,A101,A112,A123,A139,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A21 A34 A46 A54 A65 A74 A84 A92 A101 A112 A123 A139 A143 A152 A161 A173 A181 A191 A201
97,A12,A23,A32,A49,A55,A62,A73,A84,A93,A101,A114,A123,A135,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A12 A23 A32 A49 A55 A62 A73 A84 A93 A101 A114 A123 A135 A143 A152 A161 A173 A181 A191 A201
98,A12,A26,A34,A43,A55,A61,A75,A84,A93,A101,A114,A121,A135,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A12 A26 A34 A43 A55 A61 A75 A84 A93 A101 A114 A121 A135 A143 A152 A161 A173 A181 A191 A201
99,A12,A24,A33,A41,A58,A65,A74,A83,A93,A101,A114,A122,A135,A141,A151,A162,A174,A182,A192,A201,__label__1,__label__1 A12 A24 A33 A41 A58 A65 A74 A83 A93 A101 A114 A122 A135 A141 A151 A162 A174 A182 A192 A201
100,A14,A24,A32,A40,A52,A62,A75,A84,A94,A101,A114,A121,A137,A143,A151,A161,A172,A181,A191,A201,__label__1,__label__1 A14 A24 A32 A40 A52 A62 A75 A84 A94 A101 A114 A121 A137 A143 A151 A161 A172 A181 A191 A201
101,A12,A26,A32,A43,A55,A61,A74,A84,A93,A101,A114,A123,A131,A143,A151,A161,A173,A181,A191,A201,__label__1,__label__1 A12 A26 A32 A43 A55 A61 A74 A84 A93 A101 A114 A123 A131 A143 A151 A161 A173 A181 A191 A201
102,A14,A20,A33,A43,A50,A61,A73,A83,A92,A101,A112,A121,A131,A143,A152,A161,A173,A181,A191,A201,__label__1,__label__1 A14 A20 A33 A43 A50 A61 A73 A83 A92 A101 A112 A121 A131 A143 A152 A161 A173 A181 A191 A201
103,A12,A20,A34,A42,A54,A61,A74,A84,A93,A101,A113,A123,A135,A143,A151,A161,A173,A181,A192,A201,__label__1,__label__1 A12 A20 A34 A42 A54 A61 A74 A84 A93 A101 A113 A123 A135 A143 A151 A161 A173 A181 A192 A201
